 totalejemplos 6246
 total INF 3988
 total NAV 2258
 total RES 4239

 distance distManhattanINF 5615.1808983194705
 distance distManhattanNAV 3722.160566509291
 distance distManhattanRES 5615.181149071727
 
 pharmacy, 	NAV 
 jeb, 	NAV 
 plastic, 	INF 
 champions, 	INF 
 religion, 	NAV 
 celebrity, 	INF 
 fuck, 	NAV 
 florida, 	NAV 
 event, 	NAV 
 oprahs, 	NAV 
 advanced, 	INF 
 joke, 	NAV 
 dual-screen, 	NAV 
 hanover, 	INF 
 wbig, 	INF 
 generation, 	INF 
 brigade, 	INF 
 copycat, 	INF 
 portland, 	NAV 
 &, 	NAV 
 jakson, 	NAV 
 midwest, 	NAV 
 pinto, 	INF 
 newport, 	INF 
 theater, 	NAV 
 lableless, 	NAV 
 sunglasses, 	INF 
 evolution, 	NAV 
 -, 	NAV 
 3, 	NAV 
 elgood, 	NAV 
 2, 	NAV 
 soundtrack, 	INF 
 1, 	INF 
 corrective, 	INF 
 middleboro, 	NAV 
 7, 	INF 
 flatrock, 	NAV 
 monmouth, 	NAV 
 6, 	INF 
 5, 	NAV 
 4, 	INF 
 cafe, 	INF 
 asses, 	INF 
 9, 	INF 
 viewing, 	INF 
 angers, 	NAV 
 blower, 	NAV 
 4lug, 	NAV 
 peliculas, 	INF 
 rev, 	INF 
 truck, 	NAV 
 john, 	NAV 
 greg, 	NAV 
 mathematics, 	NAV 
 augustine, 	INF 
 drawing, 	NAV 
 relief, 	NAV 
 seattle, 	INF 
 guard, 	INF 
 lyrics-, 	INF 
 1848, 	NAV 
 f, 	NAV 
 g, 	NAV 
 myrtle, 	NAV 
 tone, 	INF 
 d, 	INF 
 e, 	NAV 
 b, 	NAV 
 shania, 	INF 
 illegal, 	NAV 
 c, 	INF 
 a, 	NAV 
 n, 	NAV 
 o, 	NAV 
 gardens, 	INF 
 l, 	NAV 
 steamportland, 	INF 
 m, 	INF 
 cutting, 	NAV 
 j, 	NAV 
 k, 	INF 
 h, 	NAV 
 i, 	NAV 
 w, 	NAV 
 v, 	NAV 
 licensing, 	INF 
